0/10000  err=4.93e-04
10/10000  err=7.06e-07
20/10000  err=3.57e-05
30/10000  err=1.10e-05
40/10000  err=1.22e-04
50/10000  err=6.36e-05
60/10000  err=1.70e-05
70/10000  err=4.39e-06
80/10000  err=2.23e-08
90/10000  err=1.85e-06
100/10000  err=3.99e-06
110/10000  err=1.13e-04
120/10000  err=7.99e-05
130/10000  err=9.52e-05
140/10000  err=5.74e-05
150/10000  err=7.23e-04
160/10000  err=2.62e-05
170/10000  err=1.66e-04
180/10000  err=1.13e-05
190/10000  err=1.91e-05
200/10000  err=1.66e-04
210/10000  err=1.24e-04
220/10000  err=4.84e-05
230/10000  err=2.48e-05
240/10000  err=4.52e-07
250/10000  err=1.09e-07
260/10000  err=4.12e-07
270/10000  err=4.43e-05
280/10000  err=5.48e-05
290/10000  err=1.64e-04
300/10000  err=1.16e-04
310/10000  err=2.55e-05
320/10000  err=1.82e-03
330/10000  err=1.05e-04
340/10000  err=2.44e-04
350/10000  err=7.25e-04
360/10000  err=1.10e-04
370/10000  err=1.08e-04
380/10000  err=1.12e-04
390/10000  err=7.05e-05
400/10000  err=3.96e-06
410/10000  err=3.13e-04
420/10000  err=3.81e-09
430/10000  err=8.96e-06
440/10000  err=1.84e-05
450/10000  err=1.66e-04
460/10000  err=1.18e-03
470/10000  err=5.25e-05
480/10000  err=2.73e-05
490/10000  err=5.48e-04
500/10000  err=8.54e-05
510/10000  err=8.33e-04
520/10000  err=3.99e-05
530/10000  err=5.43e-05
540/10000  err=1.70e-04
550/10000  err=1.27e-04
560/10000  err=1.78e-05
570/10000  err=6.30e-06
580/10000  err=9.82e-09
590/10000  err=1.04e-06
600/10000  err=3.77e-06
610/10000  err=1.03e-04
620/10000  err=1.08e-04
630/10000  err=1.17e-04
640/10000  err=7.42e-05
650/10000  err=7.43e-04
660/10000  err=2.29e-05
670/10000  err=2.72e-06
680/10000  err=8.34e-06
690/10000  err=9.36e-04
700/10000  err=1.05e-04
710/10000  err=1.21e-05
720/10000  err=1.32e-06
730/10000  err=1.03e-07
740/10000  err=1.75e-10
