step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.94,1.7264,+0.0244,-0.5010,2.2274,1.0324,-1.7730,6.8488,6.8488
1,0.95,1.4413,-0.0439,-0.5045,1.9457,0.7032,-2.0059,6.8287,6.8287
2,0.95,1.2412,+0.0123,-0.5043,1.7455,0.6443,-2.2454,8.0533,8.0533
3,0.94,1.2239,-0.0493,-0.5071,1.7309,0.3593,-2.2649,8.4856,8.4856
4,0.96,1.0979,-0.0211,-0.5228,1.6207,0.2624,-2.2415,8.0389,8.0389
5,0.95,0.9599,-0.0178,-0.5261,1.4859,0.1755,-2.3377,8.8175,8.8175
6,0.94,0.8121,-0.0295,-0.5335,1.3456,0.2582,-2.4213,9.1382,9.1382
7,0.94,0.6466,+0.0013,-0.5361,1.1827,0.3093,-2.6337,10.6719,10.6719
8,0.93,0.5572,+0.0983,-0.5380,1.0952,0.2405,-2.6978,11.2134,11.2134
9,0.95,0.4633,+0.0314,-0.5385,1.0018,0.4636,-2.8905,13.1906,13.1906
10,0.91,0.4723,+0.4290,-0.5470,1.0192,1.1298,-2.6687,11.4334,11.4334
11,0.95,0.2172,+0.1161,-0.5492,0.7664,0.2260,-3.1189,14.2678,14.2678
12,0.92,0.4021,+0.0772,-0.5610,0.9631,1.1102,-2.7669,12.3289,12.3289
13,0.93,0.0086,+0.0619,-0.5639,0.5725,0.1309,-3.3492,16.1328,16.1328
14,0.94,0.0373,+0.0148,-0.5751,0.6123,0.1442,-3.1902,15.1848,15.1848
15,0.94,0.0236,+0.0647,-0.5707,0.5943,0.1920,-3.2573,15.1973,15.1973
16,0.93,-0.0397,+0.0624,-0.5783,0.5386,0.1084,-3.1572,13.7730,13.7730
17,0.93,-0.0295,+0.0395,-0.5732,0.5436,0.1376,-3.1935,14.2108,14.2108
18,0.94,-0.0632,+0.0055,-0.5807,0.5175,0.1047,-3.2134,14.3109,14.3109
19,0.94,-0.1002,+0.0441,-0.5911,0.4909,0.1189,-3.1114,13.3933,13.3933
20,0.93,-0.0852,-0.0177,-0.5925,0.5073,0.1023,-3.0702,13.3559,13.3559
21,0.94,-0.1230,+0.0501,-0.5980,0.4750,0.0864,-2.9741,12.5571,12.5571
22,0.95,-0.0795,-0.0411,-0.6074,0.5280,0.1002,-2.8547,11.9088,11.9088
23,0.94,-0.1062,+0.0544,-0.6076,0.5014,0.0782,-2.8881,12.1363,12.1363
24,0.95,-0.0748,-0.0131,-0.6089,0.5341,0.0842,-2.8920,12.3774,12.3774
25,0.95,-0.1274,+0.0588,-0.6083,0.4810,0.0931,-2.9121,12.7232,12.7232
26,0.94,-0.1099,-0.0313,-0.6134,0.5035,0.1244,-2.7542,11.5501,11.5501
27,0.92,-0.1232,+0.0163,-0.6114,0.4883,0.0446,-2.7472,11.6768,11.6768
28,0.93,-0.1361,-0.0595,-0.6132,0.4772,0.1859,-2.7301,11.6337,11.6337
29,0.96,-0.1149,+0.0035,-0.6123,0.4974,0.0631,-2.7076,11.7354,11.7354
30,0.94,-0.1222,-0.0545,-0.6119,0.4897,0.1652,-2.6861,11.4885,11.4885
31,0.95,-0.1162,-0.0052,-0.6179,0.5017,0.0465,-2.5606,10.8257,10.8257
32,0.94,-0.0958,+0.0035,-0.6231,0.5273,0.1577,-2.4108,9.8909,9.8909
33,0.95,-0.1269,+0.0046,-0.6271,0.5001,0.0601,-2.3751,10.0453,10.0453
34,0.96,-0.0980,+0.0303,-0.6347,0.5367,0.0938,-2.2208,8.8909,8.8909
35,0.94,-0.1506,-0.0046,-0.6396,0.4890,0.0579,-2.2413,8.5325,8.5325
36,0.94,-0.1257,+0.0083,-0.6444,0.5187,0.1019,-2.0854,7.4396,7.4396
37,0.94,-0.1374,+0.0022,-0.6442,0.5069,0.0540,-2.1260,7.9796,7.9796
38,0.94,-0.1094,-0.0042,-0.6509,0.5415,0.1072,-1.9858,7.3908,7.3908
39,0.94,-0.1463,-0.0056,-0.6555,0.5092,0.0408,-1.9549,6.7314,6.7314
40,0.93,-0.1399,-0.0092,-0.6625,0.5226,0.0717,-1.8112,6.1006,6.1006
41,0.94,-0.1580,-0.0147,-0.6664,0.5083,0.0528,-1.8099,6.1098,6.1098
42,0.94,-0.1704,-0.0077,-0.6754,0.5050,0.0571,-1.6918,5.0958,5.0958
43,0.95,-0.1658,-0.0126,-0.6723,0.5065,0.0417,-1.7391,5.0633,5.0633
44,0.94,-0.1751,-0.0103,-0.6741,0.4990,0.0536,-1.6846,5.2778,5.2778
45,0.95,-0.1682,+0.0028,-0.6810,0.5128,0.0380,-1.6059,4.5773,4.5773
46,0.95,-0.1949,+0.0001,-0.6821,0.4872,0.0584,-1.5764,4.8876,4.8876
47,0.95,-0.1707,-0.0167,-0.6926,0.5219,0.0381,-1.4267,3.8423,3.8423
48,0.96,-0.1671,-0.0023,-0.6936,0.5265,0.0312,-1.3921,3.8080,3.8080
49,0.94,-0.1809,-0.0212,-0.6945,0.5136,0.0299,-1.3629,3.7850,3.7850
50,0.94,-0.1734,+0.0095,-0.6930,0.5197,0.0318,-1.4105,4.2266,4.2266
51,0.94,-0.1920,-0.0207,-0.6952,0.5031,0.0340,-1.3612,3.6100,3.6100
52,0.94,-0.1733,+0.0181,-0.6917,0.5183,0.0273,-1.3865,3.9599,3.9599
53,0.95,-0.1932,-0.0174,-0.6927,0.4995,0.0443,-1.3800,3.6150,3.6150
54,0.95,-0.1798,+0.0096,-0.6886,0.5088,0.0180,-1.3749,3.7727,3.7727
55,0.94,-0.1778,-0.0378,-0.6846,0.5068,0.0562,-1.4227,4.1644,4.1644
56,0.95,-0.1770,+0.0079,-0.6837,0.5068,0.0285,-1.4613,4.2639,4.2639
57,0.95,-0.1838,-0.0316,-0.6886,0.5048,0.0994,-1.3322,3.5853,3.5853
58,0.94,-0.1706,+0.0044,-0.6898,0.5192,0.0274,-1.3487,3.7167,3.7167
59,0.94,-0.1888,-0.0055,-0.6847,0.4960,0.0436,-1.4137,3.6773,3.6773
60,0.95,-0.1316,-0.0239,-0.6820,0.5503,0.2891,-1.3853,3.7807,3.7807
61,0.95,-0.1703,-0.0154,-0.6862,0.5159,0.0535,-1.3624,3.6037,3.6037
62,0.93,-0.2017,+0.0280,-0.6818,0.4801,0.0398,-1.4402,3.9920,3.9920
63,0.94,-0.1841,-0.0256,-0.6837,0.4996,0.0877,-1.3715,3.8712,3.8712
64,0.94,-0.1895,-0.0010,-0.6841,0.4946,0.0414,-1.3727,3.5960,3.5960
65,0.94,-0.1800,-0.0146,-0.6859,0.5059,0.0891,-1.3278,3.6896,3.6896
66,0.94,-0.1917,-0.0018,-0.6857,0.4940,0.0389,-1.3291,3.3435,3.3435
67,0.95,-0.1649,-0.0235,-0.6862,0.5213,0.0578,-1.2545,3.1488,3.1488
68,0.95,-0.2035,+0.0111,-0.6858,0.4823,0.0421,-1.3507,3.2330,3.2330
69,0.95,-0.1618,-0.0071,-0.6838,0.5220,0.0680,-1.3223,3.1879,3.1879
70,0.95,-0.2030,-0.0070,-0.6809,0.4779,0.0761,-1.4041,3.5394,3.5394
71,0.95,-0.1766,-0.0099,-0.6834,0.5069,0.0426,-1.3323,3.0795,3.0795
72,0.94,-0.1982,+0.0059,-0.6768,0.4787,0.0499,-1.4558,3.8290,3.8290
73,0.94,-0.1812,-0.0151,-0.6864,0.5052,0.0319,-1.2943,3.0197,3.0197
74,0.95,-0.2003,+0.0182,-0.6856,0.4853,0.0402,-1.3311,3.5093,3.5093
75,0.94,-0.1824,-0.0074,-0.6891,0.5067,0.0342,-1.2478,2.9329,2.9329
76,0.96,-0.1782,+0.0019,-0.6846,0.5064,0.0396,-1.2946,3.2652,3.2652
77,0.95,-0.1955,-0.0070,-0.6889,0.4935,0.0381,-1.2628,2.9860,2.9860
78,0.94,-0.1850,-0.0088,-0.6882,0.5032,0.0445,-1.2536,2.9183,2.9183
79,0.94,-0.1875,+0.0134,-0.6852,0.4977,0.0498,-1.2861,3.2942,3.2942
80,0.95,-0.1941,-0.0092,-0.6869,0.4928,0.0738,-1.2694,3.2641,3.2641
81,0.95,-0.1888,+0.0404,-0.6868,0.4980,0.0587,-1.2645,3.5549,3.5549
82,0.95,-0.1710,-0.0133,-0.6948,0.5239,0.0581,-1.1338,2.8753,2.8753
83,0.95,-0.2104,+0.0035,-0.6968,0.4864,0.0653,-1.1791,3.3467,3.3467
84,0.94,-0.1991,+0.0162,-0.6989,0.4998,0.0869,-1.1062,2.7632,2.7632
85,0.95,-0.1944,-0.0162,-0.7006,0.5061,0.0269,-1.0754,2.4928,2.4928
86,0.94,-0.1899,+0.0131,-0.7040,0.5141,0.0464,-1.0061,2.1007,2.1007
87,0.94,-0.2073,-0.0229,-0.7032,0.4959,0.0206,-1.0639,2.3160,2.3160
88,0.94,-0.1887,+0.0081,-0.7030,0.5142,0.0409,-1.0250,2.0034,2.0034
89,0.95,-0.2150,+0.0049,-0.7007,0.4858,0.0271,-1.0964,2.4618,2.4618
90,0.94,-0.1941,-0.0001,-0.7002,0.5061,0.0320,-1.0643,2.1528,2.1528
91,0.94,-0.2053,-0.0044,-0.7005,0.4952,0.0265,-1.0837,2.3673,2.3673
92,0.94,-0.1990,+0.0072,-0.6998,0.5007,0.0338,-1.0809,2.2613,2.2613
93,0.95,-0.2074,+0.0032,-0.7073,0.4999,0.0180,-0.9993,1.9165,1.9165
94,0.96,-0.1842,+0.0082,-0.7047,0.5205,0.0248,-0.9918,1.8850,1.8850
95,0.95,-0.2180,+0.0053,-0.7119,0.4939,0.0182,-0.9598,1.9059,1.9059
96,0.95,-0.1955,+0.0136,-0.7148,0.5192,0.0300,-0.8914,1.5990,1.5990
97,0.95,-0.2113,-0.0105,-0.7173,0.5060,0.0173,-0.8945,1.6187,1.6187
98,0.94,-0.1856,+0.0129,-0.7156,0.5300,0.0513,-0.8791,1.5127,1.5127
99,0.95,-0.2137,-0.0145,-0.7165,0.5028,0.0157,-0.8998,1.6555,1.6555
