step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.86,91.8916,+0.1688,-8.4719,100.3634,19.9990,+200.6064,40405.8125,6933.1836
1,0.86,91.3329,+0.3256,-8.4785,99.8114,15.3887,+199.9356,40132.8750,6890.0527
2,0.86,90.3834,-0.0100,-8.4917,98.8751,17.2651,+198.9826,39761.8125,6828.8403
3,0.86,89.2724,+0.0973,-8.4948,97.7672,21.2861,+197.5538,39199.9102,6740.1436
4,0.86,88.4749,-0.0109,-8.4888,96.9637,19.7363,+196.5815,38810.9922,6669.2256
5,0.86,87.8208,+0.0385,-8.4850,96.3058,18.7603,+195.8831,38541.8672,6626.8711
6,0.85,87.1689,-0.1654,-8.4916,95.6605,20.0405,+195.5067,38395.3242,6613.2783
7,0.85,86.5694,-0.0945,-8.4982,95.0676,18.4336,+194.9018,38145.2773,6576.5605
8,0.85,86.0309,+0.0812,-8.4967,94.5276,19.8711,+194.1050,37838.4062,6523.4004
9,0.85,85.2757,+0.1526,-8.4955,93.7713,20.0869,+193.3966,37555.4141,6475.2002
10,0.85,84.6978,+0.1381,-8.4927,93.1905,21.5615,+192.7609,37313.0469,6438.3394
11,0.85,84.2289,+0.1599,-8.4843,92.7132,21.8691,+191.8429,36962.1055,6382.9033
12,0.85,83.7017,+0.0901,-8.4934,92.1950,20.8374,+191.2404,36720.2461,6342.5132
13,0.85,82.5894,+0.1428,-8.4970,91.0863,22.2461,+189.9551,36224.1172,6257.1768
14,0.85,82.1553,+0.3261,-8.4864,90.6417,20.0503,+189.0869,35898.9102,6208.4863
15,0.86,81.6852,+0.1925,-8.4905,90.1757,21.4512,+188.3583,35624.1016,6167.4736
16,0.85,81.4041,+0.0519,-8.4722,89.8763,21.3828,+187.4278,35274.6172,6105.0459
17,0.85,81.1276,+0.1709,-8.4728,89.6004,21.7666,+187.2392,35206.0938,6097.6943
18,0.86,80.7398,+0.0706,-8.4704,89.2101,20.5244,+186.7155,35014.1094,6067.3672
19,0.85,80.2480,+0.1454,-8.4842,88.7322,21.3472,+186.1511,34805.9766,6029.2300
20,0.85,79.9229,+0.2574,-8.4943,88.4172,22.7056,+185.7183,34645.0938,6003.8135
21,0.85,79.4806,-0.0687,-8.4909,87.9715,19.2593,+185.4500,34536.9297,5986.1387
22,0.86,79.0094,+0.0912,-8.4863,87.4957,20.9297,+184.8792,34330.9219,5949.5459
23,0.85,78.6425,-0.0860,-8.4930,87.1355,19.3350,+184.1429,34067.3633,5907.2261
24,0.85,77.9809,-0.0636,-8.4971,86.4781,19.3438,+183.2607,33741.6211,5852.4355
25,0.85,77.8163,-0.1417,-8.5063,86.3226,22.4961,+182.6977,33544.1055,5822.0786
26,0.85,77.2507,-0.2238,-8.4947,85.7454,18.1851,+182.2351,33365.2109,5789.4731
27,0.85,76.6463,-0.2707,-8.4859,85.1322,15.5254,+181.1481,32954.6875,5723.9014
28,0.85,76.3743,-0.5605,-8.4910,84.8653,18.2827,+180.8512,32856.2852,5711.9424
29,0.85,76.0113,-0.4066,-8.4897,84.5010,16.3535,+180.0116,32549.5078,5657.5767
30,0.86,75.6590,-0.4178,-8.4919,84.1509,17.3374,+179.3601,32313.2734,5622.3887
31,0.85,75.3577,-0.3583,-8.4972,83.8549,16.4844,+178.6447,32056.9238,5577.6392
32,0.85,74.6998,-0.3216,-8.5013,83.2011,20.2847,+177.6546,31710.1562,5518.7881
33,0.85,74.3868,-0.4571,-8.4908,82.8775,20.5151,+176.9739,31469.6680,5481.0938
34,0.85,74.1101,-0.4706,-8.4882,82.5984,19.6372,+176.2988,31230.0449,5439.2988
35,0.85,73.5337,-0.5111,-8.4956,82.0294,20.9375,+175.0577,30789.6719,5364.4756
36,0.86,73.0259,-0.4884,-8.5002,81.5262,20.1177,+174.2690,30511.4707,5320.2412
37,0.86,72.4947,-0.3719,-8.5084,81.0031,20.3374,+173.4588,30225.1816,5269.1855
38,0.84,72.3977,-0.5772,-8.5052,80.9029,23.6201,+172.7674,29986.8359,5227.1553
39,0.85,72.0383,-0.6680,-8.5045,80.5428,21.3672,+172.2868,29811.5234,5202.2412
40,0.85,71.5150,-0.6965,-8.5069,80.0219,25.7505,+170.9545,29352.1250,5118.1235
41,0.84,71.3002,-0.8673,-8.4946,79.7948,33.6113,+170.5309,29240.5938,5100.3403
42,0.84,70.9527,-0.7150,-8.5045,79.4572,29.1304,+169.8528,29003.7188,5060.3564
43,0.83,70.6762,-0.4086,-8.5047,79.1809,28.5405,+169.5697,28906.1816,5048.7773
44,0.84,70.5474,-0.1879,-8.4950,79.0424,28.4111,+169.0091,28725.2969,5019.0127
45,0.84,70.0318,-0.2899,-8.5031,78.5349,31.4419,+168.3603,28512.2754,4980.8848
46,0.83,69.7493,-0.3997,-8.4984,78.2477,34.6055,+167.8037,28320.4551,4949.7051
47,0.84,69.1951,-0.4051,-8.4966,77.6917,35.0664,+167.1138,28094.1797,4915.0527
48,0.84,68.7559,-0.2076,-8.5045,77.2604,35.7397,+166.1416,27773.3164,4874.5830
49,0.83,68.2647,-0.0067,-8.5035,76.7682,36.4180,+165.3530,27520.3848,4829.6992
50,0.82,67.9861,+0.1417,-8.5074,76.4934,41.9082,+164.7136,27315.3945,4793.7749
51,0.83,67.2725,+0.2548,-8.5036,75.7760,39.2598,+163.8622,27025.3672,4747.0273
52,0.83,66.9241,+0.2374,-8.5052,75.4292,39.7295,+163.2980,26845.4180,4719.9316
53,0.83,66.4884,+0.0340,-8.5067,74.9950,38.4136,+162.5207,26596.3789,4686.0303
54,0.82,66.2399,-0.1514,-8.4931,74.7330,39.3970,+161.9587,26421.0586,4662.0000
55,0.81,65.7576,+0.1207,-8.4903,74.2479,41.6831,+161.1991,26168.9102,4612.6836
56,0.82,65.1391,+0.1066,-8.5089,73.6480,48.5625,+160.0323,25802.9297,4562.0684
57,0.82,64.4554,+0.2219,-8.5026,72.9580,46.3105,+159.4112,25625.9492,4525.1377
58,0.82,64.4657,+0.2333,-8.4933,72.9590,41.3564,+158.9792,25480.2422,4506.7871
59,0.81,64.1321,+0.0798,-8.4873,72.6194,48.0820,+158.1798,25230.9219,4469.3174
