step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.85,94.4455,-0.1449,-8.4689,102.9145,52.9678,+204.2468,41922.8555,7228.7637
1,0.84,93.5377,-0.3465,-8.4729,102.0106,50.8359,+203.3745,41580.0469,7164.3447
2,0.84,93.1281,-0.3096,-8.4887,101.6168,66.6709,+202.8228,41352.4766,7129.6094
3,0.84,92.0080,-0.3707,-8.4889,100.4970,47.0166,+201.5447,40816.5508,7033.6738
4,0.84,91.4967,-0.0052,-8.5039,100.0006,46.1787,+200.8239,40527.2305,6993.5674
5,0.85,90.4787,-0.7403,-8.4944,98.9731,58.8867,+199.5644,40029.5820,6901.8877
6,0.84,90.1643,-0.5202,-8.4930,98.6574,43.8921,+198.8018,39717.5547,6854.8252
7,0.84,89.9284,+0.0262,-8.4958,98.4243,50.0908,+198.4856,39602.7188,6831.6099
8,0.85,89.0291,+0.4826,-8.5010,97.5301,50.5044,+197.6080,39247.8516,6776.4619
9,0.85,89.0267,+0.3493,-8.5011,97.5278,42.1553,+197.3452,39123.1016,6764.2549
10,0.84,88.7515,+0.0368,-8.5150,97.2665,42.4062,+196.7008,38865.5859,6724.1641
11,0.85,88.3382,-0.1780,-8.4942,96.8324,51.8950,+196.0493,38643.6172,6674.7637
12,0.84,88.3314,+0.6610,-8.4825,96.8139,46.5210,+196.3241,38745.2812,6703.9727
13,0.86,88.5208,+0.7352,-8.4982,97.0190,48.0991,+197.0049,39017.8203,6754.4531
14,0.84,86.5081,+0.2155,-8.5041,95.0122,45.4365,+194.8359,38168.3828,6598.0513
15,0.84,86.8060,+0.3343,-8.4907,95.2967,46.4902,+195.0859,38271.2656,6622.9272
16,0.86,86.1525,+0.3609,-8.4976,94.6501,45.1606,+194.5938,38065.5938,6590.0244
17,0.84,85.6700,-0.1262,-8.5130,94.1830,48.8911,+193.8553,37777.3516,6551.2476
18,0.85,85.2593,+0.3371,-8.4876,93.7470,37.0698,+193.0370,37445.8086,6486.5654
19,0.84,84.9187,+0.3754,-8.4707,93.3894,48.2642,+192.2221,37142.8984,6435.2700
20,0.84,84.7004,+0.0814,-8.4933,93.1936,37.5063,+191.6778,36905.8906,6411.5776
21,0.85,84.4639,-0.0485,-8.4774,92.9413,39.4688,+190.7571,36566.1953,6338.6362
22,0.85,84.2341,-0.6224,-8.4754,92.7095,60.7285,+190.6522,36538.4414,6324.9385
23,0.85,83.9028,-0.2902,-8.4810,92.3838,43.6055,+189.8005,36208.0625,6281.6533
24,0.85,83.7342,+0.0265,-8.4858,92.2200,35.4463,+189.8025,36210.2422,6290.6895
25,0.85,83.6726,-0.3823,-8.4813,92.1539,37.0200,+189.7304,36185.1328,6294.0488
26,0.84,83.0128,-0.2595,-8.4782,91.4910,43.9912,+188.6575,35789.2930,6218.2397
27,0.84,82.6334,-0.2175,-8.4750,91.1084,44.1978,+188.1784,35613.8672,6190.2041
28,0.84,82.3078,-0.6221,-8.4771,90.7849,49.9976,+187.2056,35242.2891,6127.0381
29,0.83,82.2745,+0.0914,-8.4735,90.7479,44.7461,+187.5060,35355.9531,6140.6387
30,0.85,82.0318,+0.3118,-8.4727,90.5045,34.2905,+187.1317,35191.3281,6117.1602
31,0.85,81.2681,+0.5447,-8.4657,89.7338,39.4629,+186.4920,34957.0859,6068.6875
32,0.84,80.5815,+0.5162,-8.4773,89.0588,51.9175,+185.1864,34465.6406,5998.5093
33,0.84,80.8918,+0.4109,-8.4507,89.3425,38.0400,+185.4805,34575.2266,6016.0635
34,0.85,80.4524,+0.7403,-8.4583,88.9107,38.2881,+184.6606,34272.3945,5963.7871
35,0.85,80.0583,+0.4182,-8.4633,88.5216,43.9634,+183.9829,34034.8125,5931.2236
36,0.84,80.3316,+0.0634,-8.4489,88.7805,41.6641,+184.3697,34189.4688,5959.1807
37,0.85,80.2296,+0.0638,-8.4519,88.6815,37.2314,+184.6462,34296.8359,5976.4004
38,0.84,80.2104,-0.1125,-8.4442,88.6546,49.2964,+183.9465,34040.6953,5928.5957
39,0.85,80.5482,+0.2345,-8.4712,89.0194,40.5200,+184.3645,34173.8281,5950.6182
40,0.85,80.6093,+0.1009,-8.4701,89.0795,44.4600,+184.2036,34131.4219,5940.7725
41,0.85,79.8310,-0.5310,-8.4674,88.2984,41.0659,+183.1396,33742.3984,5882.2119
42,0.83,79.1625,-0.7174,-8.4697,87.6322,40.9575,+182.3259,33450.7656,5823.1328
43,0.85,78.7711,-0.1450,-8.4563,87.2273,42.7017,+181.9209,33279.5547,5802.9180
44,0.85,79.1577,-0.1315,-8.4449,87.6026,62.7686,+182.3923,33503.8828,5835.7632
45,0.83,78.5585,-0.2608,-8.4390,86.9975,44.6172,+181.5132,33142.9961,5791.7881
46,0.84,78.3783,-0.2236,-8.4314,86.8097,41.1909,+181.2365,33051.8438,5766.0610
47,0.84,78.2023,+0.7101,-8.4421,86.6444,51.9980,+180.8040,32906.7422,5747.5737
48,0.84,77.7091,+0.2961,-8.4457,86.1548,42.7778,+180.5261,32784.2617,5727.3955
49,0.84,76.6384,-0.0460,-8.4416,85.0800,49.2217,+179.4103,32405.4355,5654.9414
50,0.84,76.8669,-0.2404,-8.4288,85.2957,55.3521,+179.1172,32322.8516,5638.9287
51,0.83,76.4771,+0.1212,-8.4303,84.9075,44.4004,+178.6467,32126.5898,5607.9214
52,0.85,76.7798,+0.1521,-8.4457,85.2255,53.3682,+179.3335,32389.0898,5657.2246
53,0.83,77.1401,+0.4139,-8.4304,85.5706,42.2388,+179.9923,32607.9453,5680.4209
54,0.84,76.9149,+0.1864,-8.4263,85.3412,53.2148,+179.4298,32414.5703,5658.1602
55,0.84,76.6394,-0.2063,-8.4255,85.0650,55.3467,+179.3204,32371.1387,5655.1440
56,0.84,76.0219,-0.3438,-8.4268,84.4487,55.9380,+178.5643,32108.3320,5621.1509
57,0.84,76.0249,-0.4871,-8.4344,84.4593,59.2021,+178.3519,32037.1172,5608.5029
58,0.83,75.9202,-0.2815,-8.4460,84.3662,51.9785,+177.8490,31839.6797,5580.2549
59,0.84,75.6405,-0.0345,-8.4412,84.0816,40.4072,+177.5969,31731.1348,5554.6709
60,0.83,75.3981,-0.0000,-8.4247,83.8229,54.7280,+176.9938,31539.5117,5531.0747
61,0.83,75.1829,+0.5100,-8.4238,83.6067,51.8813,+176.7123,31445.9785,5518.3838
62,0.83,74.9506,+0.2264,-8.4115,83.3621,48.7427,+175.9484,31176.4492,5468.1143
63,0.84,74.4527,+0.6039,-8.3956,82.8483,45.5571,+175.0807,30860.3301,5411.5625
64,0.83,74.0567,+0.6477,-8.4039,82.4606,51.2441,+173.8113,30417.4102,5347.8213
65,0.83,73.4366,+0.5241,-8.3929,81.8296,54.3687,+172.7341,30065.5898,5280.6475
66,0.85,73.0635,+0.4979,-8.3921,81.4557,59.5259,+171.6472,29675.5352,5211.4194
67,0.84,73.1664,+0.6096,-8.3896,81.5561,59.8511,+171.8004,29755.4512,5244.8477
68,0.82,72.6407,+0.1204,-8.3741,81.0148,69.0249,+170.8169,29419.6445,5182.2246
69,0.83,71.9725,-0.4210,-8.3794,80.3519,66.3521,+170.3168,29274.6973,5164.0908
70,0.82,71.8860,-0.1289,-8.3791,80.2651,72.5498,+169.7434,29096.5938,5147.5664
71,0.82,70.9509,+0.8233,-8.3749,79.3258,82.9600,+168.1728,28570.2109,5076.1885
72,0.83,70.6360,+0.9621,-8.3667,79.0027,91.7949,+167.3234,28270.8652,5008.7930
73,0.81,71.2420,+0.1112,-8.3364,79.5785,105.6377,+166.9467,28185.3555,5012.5986
74,0.82,70.3536,+0.4019,-8.3418,78.6953,99.3511,+166.3148,27985.5312,4967.8604
75,0.82,70.7525,+0.9719,-8.3201,79.0727,105.7061,+166.1980,27964.2246,4988.3350
76,0.82,70.2738,+0.8619,-8.3039,78.5777,96.5073,+166.1820,27943.6602,4967.7979
77,0.81,70.3746,+0.0087,-8.2924,78.6670,79.1343,+166.7845,28117.6836,5014.2002
78,0.82,69.8264,+0.0412,-8.2963,78.1227,83.7783,+165.9732,27871.0625,4971.9082
79,0.81,69.1512,-0.1499,-8.2768,77.4280,85.7427,+164.6983,27436.8164,4880.9297
80,0.82,69.6378,+0.1314,-8.2842,77.9220,89.6011,+164.4208,27350.2832,4894.8965
81,0.82,68.9405,+1.4843,-8.2707,77.2112,91.5991,+164.0768,27244.0547,4868.8960
82,0.81,68.7303,+1.2120,-8.2761,77.0064,84.8042,+163.8596,27158.1875,4859.5371
83,0.81,68.3071,+0.7725,-8.2701,76.5772,90.5400,+162.7865,26798.5352,4810.1240
84,0.81,68.0777,+0.3691,-8.2499,76.3276,105.5176,+163.1574,26932.1016,4810.0518
85,0.81,67.7701,+0.4811,-8.2665,76.0366,99.0610,+162.5077,26740.4297,4792.1460
86,0.81,67.3669,+0.2424,-8.2608,75.6278,85.1738,+161.8722,26532.1270,4758.7559
87,0.80,67.3282,+0.1037,-8.2478,75.5760,85.7666,+160.8348,26194.4375,4732.4492
88,0.81,66.9606,+0.2324,-8.2465,75.2071,108.1167,+161.2014,26348.5137,4723.0234
89,0.81,67.0009,+0.5207,-8.2403,75.2412,117.7607,+160.2872,26103.9277,4737.6328
90,0.79,67.0746,+1.1658,-8.2328,75.3074,135.4995,+160.6187,26203.9766,4733.2466
91,0.81,66.8555,+0.8771,-8.2123,75.0678,119.4136,+159.6287,25863.7383,4690.2754
92,0.81,65.8096,+0.6940,-8.2095,74.0191,117.4888,+158.1833,25396.6328,4614.5947
93,0.79,66.1611,-0.1412,-8.2153,74.3764,134.7974,+158.9560,25670.7344,4656.4580
94,0.78,65.7896,-1.2401,-8.2281,74.0176,119.4175,+157.4142,25175.6094,4613.4399
95,0.80,64.9168,-0.3652,-8.2339,73.1507,127.2422,+156.3438,24825.6094,4552.6157
96,0.81,65.2657,-0.4291,-8.2568,73.5225,114.6685,+156.4721,24906.5605,4579.1021
97,0.80,65.6008,+0.5409,-8.2625,73.8633,123.9209,+155.5963,24659.3516,4575.4473
98,0.79,65.0403,+0.6878,-8.2342,73.2745,126.3477,+154.3618,24290.7988,4515.4575
99,0.80,64.7690,+1.1026,-8.2487,73.0177,156.4751,+155.1810,24544.7148,4525.2852
100,0.79,65.7954,+1.0647,-8.2495,74.0449,127.2305,+156.4134,24904.7109,4606.7339
101,0.77,65.0901,+0.5752,-8.2360,73.3261,152.9277,+154.5443,24372.6094,4537.1699
102,0.77,63.8716,+0.1865,-8.2429,72.1145,154.0088,+153.3587,23963.5840,4448.0210
103,0.75,63.7119,+0.6704,-8.2460,71.9579,145.6450,+152.9285,23830.5781,4459.5625
104,0.77,63.1299,+1.2057,-8.2485,71.3784,125.3801,+151.3474,23350.3906,4400.3750
105,0.76,63.2789,-0.4140,-8.2377,71.5166,131.5776,+151.2173,23346.4453,4396.9941
106,0.76,62.8677,-1.5599,-8.2026,71.0703,152.2209,+150.2992,23093.3145,4363.7295
107,0.76,62.6688,-1.7153,-8.2159,70.8847,228.0718,+149.7560,22965.8789,4344.0820
108,0.78,63.1157,-0.8683,-8.2107,71.3263,137.2478,+149.6297,22907.7422,4378.5718
109,0.75,62.0491,-0.4637,-8.1830,70.2321,149.6445,+148.2367,22541.0508,4323.9521
110,0.74,62.1508,-0.8097,-8.1797,70.3306,174.4795,+148.5472,22661.9180,4306.0264
111,0.73,61.7568,-0.0443,-8.1697,69.9265,195.6357,+146.6057,22123.5430,4268.7705
112,0.74,61.1171,-0.2098,-8.1782,69.2953,181.7925,+146.4410,22024.7305,4218.2329
113,0.74,60.9036,+0.0322,-8.1709,69.0744,160.0142,+145.3080,21694.3594,4189.5796
114,0.76,61.0526,-0.3077,-8.1543,69.2069,182.9243,+146.6225,22170.1133,4261.7783
115,0.74,61.3718,+0.9876,-8.1279,69.4997,142.3792,+146.3408,22012.1230,4290.2998
116,0.74,60.5625,+0.1754,-8.1247,68.6872,151.3088,+144.6595,21491.4688,4233.3848
117,0.76,61.2694,-0.5871,-8.1280,69.3974,251.1843,+145.7719,21930.3184,4284.4502
118,0.72,60.8555,-0.8510,-8.1545,69.0100,160.1416,+143.3086,21139.8516,4243.3218
119,0.73,59.9785,+0.4773,-8.1357,68.1142,153.4880,+142.9313,21015.2227,4189.1548
120,0.74,59.9946,-1.0385,-8.1460,68.1406,135.0544,+142.9590,21018.9844,4203.6504
121,0.73,58.2776,+0.1146,-8.1448,66.4224,147.3789,+141.9962,20687.1641,4097.3809
122,0.75,58.9663,+0.2450,-8.1530,67.1193,152.5713,+141.0168,20470.1055,4145.2798
123,0.73,58.1933,+0.9859,-8.1374,66.3307,161.3931,+139.7572,20093.1055,4072.9570
124,0.74,58.4954,+0.3414,-8.1269,66.6223,166.2190,+138.6736,19861.9727,4075.9448
125,0.73,58.5622,-0.1492,-8.1372,66.6994,138.0413,+139.2383,20003.9238,4087.1958
